Rank,Title,URL,Score,Genres,Episodes,Premiered,Studio,Type,Source
3339,Tobe! Isami,https://myanimelist.net/anime/3036/Tobe_Isami,7.19,"Action, Adventure, Comedy, Romance",50,Spring 1995,Group TAC,TV,Source not found
3340,Toushou Daimos,https://myanimelist.net/anime/2816/Toushou_Daimos,7.19,"Adventure, Drama, Romance, Sci-Fi, Mecha",44,Spring 1978,Sunrise,TV,Source not found
3341,"Tsuma, Shougakusei ni Naru.",https://myanimelist.net/anime/54726/Tsuma_Shougakusei_ni_Naru,7.19,"Comedy, Romance, Reincarnation, Seinen",12,Fall 2024,Studio Signpost,TV,Manga
3342,Uragiri wa Boku no Namae wo Shitteiru,https://myanimelist.net/anime/7058/Uragiri_wa_Boku_no_Namae_wo_Shitteiru,7.19,"Adventure, Boys Love, Drama, Fantasy, Reincarnation, Shoujo",24,Spring 2010,J.C.Staff,TV,Manga
3343,Video Girl Ai,https://myanimelist.net/anime/201/Video_Girl_Ai,7.19,"Comedy, Drama, Romance, Ecchi, Love Polygon, Shounen",6,Premiered season not found,Production I.G,OVA,Manga
3344,Wuliao Jiu Wanjie,https://myanimelist.net/anime/59012/Wuliao_Jiu_Wanjie,7.19,"Comedy, Romance, Sci-Fi",24,Premiered season not found,Shengying Animation,ONA,Manga
3345,Yes! Precure 5,https://myanimelist.net/anime/1932/Yes_Precure_5,7.19,"Action, Mahou Shoujo, School",49,Winter 2007,Toei Animation,TV,Source not found
3346,Yes! Precure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday,https://myanimelist.net/anime/4703/Yes_Precure_5_GoGo_Movie__Okashi_no_Kuni_no_Happy_Birthday,7.19,"Romance, Mahou Shoujo, Super Power",1,Premiered season not found,Toei Animation,Movie,Source not found
3347,You Shou Yan,https://myanimelist.net/anime/54974/You_Shou_Yan,7.19,"Comedy, Fantasy",12,Premiered season not found,Fenz,ONA,Manga
3348,Yowamushi Pedal: Re:Generation,https://myanimelist.net/anime/35880/Yowamushi_Pedal__Re_Generation,7.19,"Sports, Shounen",1,Premiered season not found,TMS Entertainment,Movie,Manga
3349,Zoids Genesis,https://myanimelist.net/anime/712/Zoids_Genesis,7.19,"Action, Adventure, Comedy, Mecha, Military",50,Spring 2005,Shogakukan Music & Digital Entertainment,TV,Source not found
3350,Amagami SS+ Plus: Extra Episode+ Plus,https://myanimelist.net/anime/12669/Amagami_SS__Plus__Extra_Episode__Plus,7.19,Romance,6,Premiered season not found,AIC,Special,Source not found
3351,Atri: My Dear Moments,https://myanimelist.net/anime/53128/Atri__My_Dear_Moments,7.19,"Drama, Romance, Sci-Fi",13,Summer 2024,TROYCA,TV,Source not found
3352,Basquash!,https://myanimelist.net/anime/5675/Basquash,7.19,"Sci-Fi, Sports, Mecha, Team Sports",26,Spring 2009,Satelight,TV,Source not found
3353,Ben-To,https://myanimelist.net/anime/10396/Ben-To,7.19,"Action, Comedy, Gourmet, Martial Arts",12,Fall 2011,David Production,TV,Light novel
3354,Binghuo Mochu,https://myanimelist.net/anime/50581/Binghuo_Mochu,7.19,"Action, Adventure, Fantasy",52,Premiered season not found,Joicy Studio,ONA,Manga
3355,Brigadoon: Marin to Melan,https://myanimelist.net/anime/1450/Brigadoon__Marin_to_Melan,7.19,"Adventure, Comedy, Drama, Sci-Fi, Mecha",26,Summer 2000,Sunrise,TV,Source not found
3356,Cencoroll Connect,https://myanimelist.net/anime/9488/Cencoroll_Connect,7.19,"Action, Sci-Fi",1,Premiered season not found,Think Corporation,Movie,Source not found
3357,Chibi Maruko-chan: Watashi no Suki na Uta,https://myanimelist.net/anime/9348/Chibi_Maruko-chan__Watashi_no_Suki_na_Uta,7.19,"Drama, Romance, Music, Visual Arts, Shoujo",1,Premiered season not found,Nippon Animation,Movie,Manga
3358,Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,https://myanimelist.net/anime/8364/Crayon_Shin-chan_Movie_12__Arashi_wo_Yobu_Yuuhi_no_Kasukabe_Boys,7.19,"Action, Adventure, Comedy, Fantasy, Historical, Seinen",1,Premiered season not found,Shin-Ei Animation,Movie,Manga
3359,Cyber City Oedo 808,https://myanimelist.net/anime/1352/Cyber_City_Oedo_808,7.19,"Action, Adventure, Sci-Fi, Adult Cast",3,Premiered season not found,Madhouse,OVA,Source not found
3360,Cybersix,https://myanimelist.net/anime/2383/Cybersix,7.19,"Action, Adventure, Romance, Sci-Fi",13,Fall 1999,Telecom Animation Film,TV,Source not found
3361,Darling in the FranXX,https://myanimelist.net/anime/35849/Darling_in_the_FranXX,7.19,"Action, Drama, Romance, Sci-Fi, Mecha",24,Winter 2018,A-1 Pictures,TV,Source not found
3362,Date A Live III,https://myanimelist.net/anime/36633/Date_A_Live_III,7.19,"Action, Fantasy, Romance, Sci-Fi, Harem, School",12,Winter 2019,J.C.Staff,TV,Light novel
3363,Dead Dead Demons Dededede Destruction (OVA) Episode 0,https://myanimelist.net/anime/58920/Dead_Dead_Demons_Dededede_Destruction_OVA_Episode_0,7.19,"Drama, Sci-Fi, Seinen",1,Premiered season not found,Production +h.,OVA,Manga
3364,Doraemon Movie 05: Nobita no Makai Daibouken,https://myanimelist.net/anime/2672/Doraemon_Movie_05__Nobita_no_Makai_Daibouken,7.19,Fantasy,1,Premiered season not found,Shin-Ei Animation,Movie,Source not found
3365,Dr. Slump: Arale-chan,https://myanimelist.net/anime/2222/Dr_Slump__Arale-chan,7.19,"Comedy, Sci-Fi, Gag Humor, Shounen",243,Spring 1981,Toei Animation,TV,Manga
3366,Fate/Apocrypha,https://myanimelist.net/anime/34662/Fate_Apocrypha,7.19,"Action, Fantasy, Urban Fantasy",25,Summer 2017,A-1 Pictures,TV,Light novel
3367,Figure 17: Tsubasa & Hikaru,https://myanimelist.net/anime/1126/Figure_17__Tsubasa___Hikaru,7.19,"Sci-Fi, Slice of Life",13,Spring 2001,OLM,TV,Source not found
3368,Futari wa Precure: Splash☆Star,https://myanimelist.net/anime/1534/Futari_wa_Precure__Splash%E2%98%86Star,7.19,"Action, Comedy, Mahou Shoujo",49,Winter 2006,Toei Animation,TV,Source not found
3369,Galaxy Angel 4,https://myanimelist.net/anime/655/Galaxy_Angel_4,7.19,"Comedy, Sci-Fi",13,Summer 2004,Madhouse,TV,Source not found
3370,Hakushaku to Yousei,https://myanimelist.net/anime/4551/Hakushaku_to_Yousei,7.19,"Adventure, Fantasy, Romance, Historical, Mythology, Shoujo",12,Fall 2008,Artland,TV,Light novel
3371,Hanhua Riji 4th Season,https://myanimelist.net/anime/53449/Hanhua_Riji_4th_Season,7.19,"Comedy, Supernatural",12,Premiered season not found,L²Studio,ONA,Source not found
3372,Hetalia: The World Twinkle,https://myanimelist.net/anime/28607/Hetalia__The_World_Twinkle,7.19,"Comedy, Anthropomorphic, Gag Humor, Historical, Parody",15,Premiered season not found,Studio Deen,ONA,Manga
3373,Hetalia: The World Twinkle Specials,https://myanimelist.net/anime/31158/Hetalia__The_World_Twinkle_Specials,7.19,"Comedy, Historical, Parody",3,Premiered season not found,Studio Deen,Special,Manga
3374,Hi no Ame ga Furu,https://myanimelist.net/anime/5929/Hi_no_Ame_ga_Furu,7.19,"Drama, Historical",1,Premiered season not found,Mushi Production,Movie,Source not found
3375,"Inari, Konkon, Koi Iroha.",https://myanimelist.net/anime/20457/Inari_Konkon_Koi_Iroha,7.19,"Comedy, Romance, Supernatural, Mythology, School, Seinen",10,Winter 2014,Production IMS,TV,Manga
3376,Jinrui wa Suitai Shimashita Specials,https://myanimelist.net/anime/15617/Jinrui_wa_Suitai_Shimashita_Specials,7.19,"Comedy, Fantasy",6,Premiered season not found,AIC ASTA,Special,Light novel
3377,Jormungand: Perfect Order Recap,https://myanimelist.net/anime/15735/Jormungand__Perfect_Order_Recap,7.19,"Action, Adventure, Adult Cast, Military, Organized Crime, Seinen",1,Premiered season not found,White Fox,Special,Manga
3378,Journey to Bloom,https://myanimelist.net/anime/56830/Journey_to_Bloom,7.19,"Drama, Music",5,Premiered season not found,P.A. Works,ONA,Source not found
3379,Juu Ou Sei,https://myanimelist.net/anime/953/Juu_Ou_Sei,7.19,"Action, Adventure, Drama, Mystery, Sci-Fi, Shoujo",11,Spring 2006,Bones,TV,Manga
3380,K: Seven Stories Movie 6 - Circle Vision - Nameless Song,https://myanimelist.net/anime/37307/K__Seven_Stories_Movie_6_-_Circle_Vision_-_Nameless_Song,7.19,"Action, Super Power",1,Premiered season not found,GoHands,Movie,Source not found
3381,Kaijuu no Kodomo,https://myanimelist.net/anime/37981/Kaijuu_no_Kodomo,7.19,"Award Winning, Drama, Mystery, Supernatural, Seinen",1,Premiered season not found,Studio 4°C,Movie,Manga
3382,Kakegurui Twin,https://myanimelist.net/anime/50339/Kakegurui_Twin,7.19,"Drama, Mystery, Suspense, Psychological, School, Shounen",6,Premiered season not found,MAPPA,ONA,Manga
3383,Kakegurui××,https://myanimelist.net/anime/37086/Kakegurui%C3%97%C3%97,7.19,"Drama, Mystery, Suspense, High Stakes Game, Psychological, School, Strategy Game, Shounen",12,Winter 2019,MAPPA,TV,Manga
3384,Kamichama Karin,https://myanimelist.net/anime/1808/Kamichama_Karin,7.19,"Comedy, Fantasy, Romance, Mahou Shoujo, School, Shoujo",26,Spring 2007,Satelight,TV,Manga
3385,Kanashimi no Belladonna,https://myanimelist.net/anime/3220/Kanashimi_no_Belladonna,7.19,"Avant Garde, Drama, Historical",1,Premiered season not found,Mushi Production,Movie,Source not found
3386,Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (TV),https://myanimelist.net/anime/10870/Koukaku_Kidoutai__Stand_Alone_Complex_-_Tachikoma_na_Hibi_TV,7.19,"Comedy, Sci-Fi, Mecha",12,Spring 2007,Production I.G,TV,Manga
3387,Kuroko no Basket: Oshaberi Shiyou ka,https://myanimelist.net/anime/34784/Kuroko_no_Basket__Oshaberi_Shiyou_ka,7.19,"Comedy, Sports, School, Team Sports, Shounen",1,Premiered season not found,Production I.G,Special,Manga
3388,Kyou no 5 no 2 (TV),https://myanimelist.net/anime/4903/Kyou_no_5_no_2_TV,7.19,"Comedy, Ecchi, School, Seinen",13,Fall 2008,Xebec,TV,Manga
3389,Ling Qi,https://myanimelist.net/anime/33605/Ling_Qi,7.19,"Action, Boys Love, Comedy, Supernatural",20,Premiered season not found,Haoliners Animation League,ONA,Web manga
3390,Made in Abyss: Retsujitsu no Ougonkyou - Papa to Issho,https://myanimelist.net/anime/52149/Made_in_Abyss__Retsujitsu_no_Ougonkyou_-_Papa_to_Issho,7.19,Fantasy,1,Premiered season not found,Kinema Citrus,Special,Manga
3391,Madou King Granzort,https://myanimelist.net/anime/2818/Madou_King_Granzort,7.19,"Action, Comedy, Fantasy, Sci-Fi, Mecha",41,Spring 1989,Sunrise,TV,Source not found
3392,Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥,https://myanimelist.net/anime/10628/Mahou_Sensei_Negima__Mou_Hitotsu_no_Sekai_Extra_-_Mahou_Shoujo_Yue%E2%99%A5,7.19,"Action, Adventure, Fantasy, Ecchi, School, Shounen",1,Premiered season not found,Shaft,OVA,Manga
3393,Mermaid Melody Pichi Pichi Pitch,https://myanimelist.net/anime/521/Mermaid_Melody_Pichi_Pichi_Pitch,7.19,"Adventure, Comedy, Fantasy, Romance, Music, Shoujo",52,Spring 2003,Actas,TV,Manga
3394,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?: Onsen Manyuuki,https://myanimelist.net/anime/16444/Mondaiji-tachi_ga_Isekai_kara_Kuru_Sou_desu_yo__Onsen_Manyuuki,7.19,"Comedy, Fantasy, Ecchi, Isekai",1,Premiered season not found,Diomedéa,OVA,Light novel
3395,Motto! Ojamajo Doremi: Kaeru Ishi no Himitsu,https://myanimelist.net/anime/2948/Motto_Ojamajo_Doremi__Kaeru_Ishi_no_Himitsu,7.19,"Comedy, Fantasy",1,Premiered season not found,Toei Animation,Movie,Source not found
3396,Nogizaka Haruka no Himitsu,https://myanimelist.net/anime/3467/Nogizaka_Haruka_no_Himitsu,7.19,"Comedy, Romance, Otaku Culture, School",12,Summer 2008,Diomedéa,TV,Light novel
3397,Oh! Edo Rocket,https://myanimelist.net/anime/2152/Oh_Edo_Rocket,7.19,"Comedy, Drama, Fantasy, Sci-Fi, Historical",26,Spring 2007,Madhouse,TV,Source not found
3398,One Piece: Episode of Sorajima,https://myanimelist.net/anime/37902/One_Piece__Episode_of_Sorajima,7.19,"Action, Adventure, Fantasy, Shounen",1,Premiered season not found,Toei Animation,TV Special,Manga
3399,One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,https://myanimelist.net/anime/2020/One_Piece__Nenmatsu_Tokubetsu_Kikaku_Mugiwara_no_Luffy_Oyabun_Torimonochou,7.19,"Comedy, Fantasy, Historical, Shounen",1,Premiered season not found,Toei Animation,TV Special,Manga
3400,Plastic Neesan,https://myanimelist.net/anime/10711/Plastic_Neesan,7.19,"Comedy, School, Seinen",12,Premiered season not found,Barnum Studio,ONA,Manga
3401,Pokemon Movie 21: Minna no Monogatari,https://myanimelist.net/anime/36927/Pokemon_Movie_21__Minna_no_Monogatari,7.19,"Action, Adventure, Comedy, Fantasy, Strategy Game, Kids",1,Premiered season not found,OLM,Movie,Source not found
3402,Qi Hou Bilu,https://myanimelist.net/anime/56766/Qi_Hou_Bilu,7.19,"Action, Adventure, Fantasy, Martial Arts",12,Premiered season not found,L²Studio,ONA,Source not found
3403,Re-Main,https://myanimelist.net/anime/48406/Re-Main,7.19,"Sports, School, Team Sports",12,Summer 2021,MAPPA,TV,Source not found
3404,Red Shoes,https://myanimelist.net/anime/48305/Red_Shoes,7.19,"Comedy, Romance",1,Premiered season not found,add some,Movie,Source not found
3405,Sankarea OVA,https://myanimelist.net/anime/13055/Sankarea_OVA,7.19,"Comedy, Horror, Romance, Supernatural, Ecchi, Love Polygon, Shounen",2,Premiered season not found,Studio Deen,OVA,Manga
3406,Seimei no Kagaku: Micro Patrol,https://myanimelist.net/anime/3624/Seimei_no_Kagaku__Micro_Patrol,7.19,"Adventure, Educational, Medical",26,Premiered season not found,Eiken,OVA,Source not found
3407,Kimi no Iru Machi: Tasogare Kousaten,https://myanimelist.net/anime/11313/Kimi_no_Iru_Machi__Tasogare_Kousaten,7.18,"Drama, Romance, School, Shounen",2,Premiered season not found,Tatsunoko Production,OVA,Manga
3408,Kuroshitsuji Recap,https://myanimelist.net/anime/6163/Kuroshitsuji_Recap,7.18,"Action, Comedy, Mystery, Supernatural, Historical, Mythology, Shounen",1,Premiered season not found,A-1 Pictures,TV Special,Manga
3409,Kyou no 5 no 2,https://myanimelist.net/anime/837/Kyou_no_5_no_2,7.18,"Comedy, Ecchi, School, Seinen",4,Premiered season not found,Shinkuukan,OVA,Manga
3410,Lady Georgie,https://myanimelist.net/anime/2542/Lady_Georgie,7.18,"Drama, Romance, Historical, Shoujo",45,Spring 1983,Tokyo Movie Shinsha,TV,Manga
3411,Little Nemo,https://myanimelist.net/anime/2286/Little_Nemo,7.18,"Adventure, Fantasy",1,Premiered season not found,Tokyo Movie Shinsha,Movie,Source not found
3412,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,https://myanimelist.net/anime/192/Love_Hina_Haru_Special__Kimi_Sakura_Chiru_Nakare,7.18,"Adventure, Comedy, Romance, Shounen",1,Premiered season not found,Xebec,TV Special,Manga
3413,Meitantei Conan OVA 03: Conan to Heiji to Kieta Shounen,https://myanimelist.net/anime/2513/Meitantei_Conan_OVA_03__Conan_to_Heiji_to_Kieta_Shounen,7.18,"Adventure, Comedy, Mystery, Detective, Shounen",1,Premiered season not found,TMS Entertainment,OVA,Manga
3414,Mirai Nikki,https://myanimelist.net/anime/8460/Mirai_Nikki,7.18,"Action, Supernatural, Suspense, High Stakes Game, Survival, Shounen",1,Premiered season not found,asread.,OVA,Manga
3415,Musekinin Kanchou Tylor OVA,https://myanimelist.net/anime/1168/Musekinin_Kanchou_Tylor_OVA,7.18,"Adventure, Comedy, Drama, Sci-Fi, Military, Space",10,Premiered season not found,Studio Deen,OVA,Light novel
3416,One Piece: Episode of Alabasta - Prologue,https://myanimelist.net/anime/28683/One_Piece__Episode_of_Alabasta_-_Prologue,7.18,"Action, Adventure, Fantasy, Shounen",1,Premiered season not found,Toei Animation,TV Special,Manga
3417,One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,https://myanimelist.net/anime/1237/One_Piece__Oounabara_ni_Hirake_Dekkai_Dekkai_Chichi_no_Yume,7.18,"Action, Adventure, Fantasy, Shounen",1,Premiered season not found,Toei Animation,TV Special,Manga
3418,Ou Dorobou Jing,https://myanimelist.net/anime/107/Ou_Dorobou_Jing,7.18,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",13,Spring 2002,Studio Deen,TV,Manga
3419,Owari no Seraph: Kyuuketsuki Shahar,https://myanimelist.net/anime/31378/Owari_no_Seraph__Kyuuketsuki_Shahar,7.18,"Action, Drama, Supernatural, Military, Vampire, Shounen",1,Premiered season not found,Wit Studio,OVA,Manga
3420,Precure All Stars Movie DX2: Kibou no Hikari☆Rainbow Jewel wo Mamore!,https://myanimelist.net/anime/8133/Precure_All_Stars_Movie_DX2__Kibou_no_Hikari%E2%98%86Rainbow_Jewel_wo_Mamore,7.18,"Action, Mahou Shoujo",1,Premiered season not found,Toei Animation,Movie,Source not found
3421,Precure All Stars Movie New Stage: Mirai no Tomodachi,https://myanimelist.net/anime/12221/Precure_All_Stars_Movie_New_Stage__Mirai_no_Tomodachi,7.18,Mahou Shoujo,1,Premiered season not found,Toei Animation,Movie,Source not found
3422,Puchimas!!: Petit Petit iDOLM@STER,https://myanimelist.net/anime/21073/Puchimas__Petit_Petit_iDOLMSTER,7.18,"Comedy, Slice of Life, Idols (Female)",74,Premiered season not found,Gathering,ONA,4-koma manga
3423,Quanzhi Fashi,https://myanimelist.net/anime/34300/Quanzhi_Fashi,7.18,"Action, Fantasy, School",12,Premiered season not found,Foch Film,ONA,Source not found
3424,Quanzhi Gaoshou 3,https://myanimelist.net/anime/49559/Quanzhi_Gaoshou_3,7.18,"Action, Video Game",17,Premiered season not found,Colored Pencil Animation,ONA,Source not found
3425,Saiki Kusuo no Ψ-nan (ONA),https://myanimelist.net/anime/19469/Saiki_Kusuo_no_%CE%A8-nan_ONA,7.18,"Comedy, School, Super Power, Shounen",1,Premiered season not found,J.C.Staff,ONA,Manga
3426,Seikai no Senki Special,https://myanimelist.net/anime/399/Seikai_no_Senki_Special,7.18,"Action, Romance, Sci-Fi, Military, Space",1,Premiered season not found,Sunrise,TV Special,Light novel
3427,Sekirei: Pure Engagement Episode 0,https://myanimelist.net/anime/9355/Sekirei__Pure_Engagement_Episode_0,7.18,"Comedy, Ecchi, Harem, Seinen",1,Premiered season not found,Seven Arcs,Special,Manga
3428,Star Driver: Kagayaki no Takuto,https://myanimelist.net/anime/8934/Star_Driver__Kagayaki_no_Takuto,7.18,"Action, Romance, Sci-Fi, Mecha, School",25,Fall 2010,Bones,TV,Source not found
3429,Suisei no Gargantia Specials,https://myanimelist.net/anime/19211/Suisei_no_Gargantia_Specials,7.18,"Action, Adventure, Sci-Fi, Mecha",2,Premiered season not found,Production I.G,Special,Source not found
3430,Tactics,https://myanimelist.net/anime/173/Tactics,7.18,"Mystery, Supernatural, Historical, Mythology, Shounen",25,Fall 2004,Studio Deen,TV,Manga
3431,Tatakau Shisho: The Book of Bantorra,https://myanimelist.net/anime/6758/Tatakau_Shisho__The_Book_of_Bantorra,7.18,"Action, Fantasy, Adult Cast, Super Power",27,Fall 2009,David Production,TV,Light novel
3432,Tennis no Oujisama: Pair Prince,https://myanimelist.net/anime/10862/Tennis_no_Oujisama__Pair_Prince,7.18,"Comedy, Shounen",8,Premiered season not found,M.S.C,Special,Manga
3433,Terminator 0,https://myanimelist.net/anime/59390/Terminator_0,7.18,"Action, Sci-Fi, Time Travel",8,Premiered season not found,Production I.G,ONA,Source not found
3434,The iDOLM@STER Shiny Festa,https://myanimelist.net/anime/14835/The_iDOLMSTER_Shiny_Festa,7.18,"Comedy, Drama, Idols (Female), Music",3,Premiered season not found,A-1 Pictures,OVA,Source not found
3435,Tokyo Majin Gakuen Kenpuuchou: Tou Dai Ni Maku,https://myanimelist.net/anime/2683/Tokyo_Majin_Gakuen_Kenpuuchou__Tou_Dai_Ni_Maku,7.18,"Action, Drama, Horror, Mystery, Martial Arts, School",12,Summer 2007,AIC Spirits,TV,Source not found
3436,UQ Holder! Mahou Sensei Negima! 2 OVA,https://myanimelist.net/anime/34604/UQ_Holder_Mahou_Sensei_Negima_2_OVA,7.18,"Action, Fantasy, Sci-Fi, Shounen",3,Premiered season not found,J.C.Staff,OVA,Manga
3437,Utawarerumono OVA,https://myanimelist.net/anime/3593/Utawarerumono_OVA,7.18,"Action, Comedy, Fantasy",3,Premiered season not found,Chaos Project,OVA,Source not found
3438,Wagaya no Oinari-sama.,https://myanimelist.net/anime/3322/Wagaya_no_Oinari-sama,7.18,"Comedy, Supernatural, Magical Sex Shift, Mythology",24,Spring 2008,Zexcs,TV,Light novel
3439,Yawara!: Zutto Kimi no Koto ga...,https://myanimelist.net/anime/2009/Yawara__Zutto_Kimi_no_Koto_ga,7.18,"Comedy, Romance, Sports, Combat Sports, Seinen",1,Premiered season not found,Madhouse,TV Special,Manga
3440,Yoru wa Neko to Issho,https://myanimelist.net/anime/51692/Yoru_wa_Neko_to_Issho,7.18,"Comedy, Pets",30,Summer 2022,Studio PuYUKAI,TV,Web manga
3441,Youkai Apartment no Yuuga na Nichijou,https://myanimelist.net/anime/35220/Youkai_Apartment_no_Yuuga_na_Nichijou,7.18,"Slice of Life, Supernatural, Mythology, School",26,Summer 2017,Shin-Ei Animation,TV,Source not found
3442,Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou,https://myanimelist.net/anime/2125/Yuu%E2%98%86Yuu%E2%98%86Hakusho__Eizou_Hakusho_-_Ankoku_Bujutsukai_no_Shou,7.18,"Action, Supernatural, Martial Arts, Mythology, Shounen",2,Premiered season not found,Pierrot,OVA,Manga
3443,07-Ghost,https://myanimelist.net/anime/5525/07-Ghost,7.18,"Action, Fantasy, Military, Mythology, Josei",25,Spring 2009,Studio Deen,TV,Manga
3444,Aikatsu Friends!,https://myanimelist.net/anime/37204/Aikatsu_Friends,7.18,"Slice of Life, Idols (Female), Music, School",50,Spring 2018,Bandai Namco Pictures,TV,Source not found
3445,Amagami SS: Tachibana Miya-hen - Imouto,https://myanimelist.net/anime/9925/Amagami_SS__Tachibana_Miya-hen_-_Imouto,7.18,School,1,Premiered season not found,AIC,Special,Source not found
3446,Ansatsu Kyoushitsu: Jump Festa 2013 Special,https://myanimelist.net/anime/19759/Ansatsu_Kyoushitsu__Jump_Festa_2013_Special,7.18,"Action, Comedy, Shounen",1,Premiered season not found,Brain's Base,Special,Manga
3447,Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,https://myanimelist.net/anime/31754/Aoharu_x_Kikanjuu__Kemono-tachi_no_Senjou_da_na,7.18,"Comedy, Sports, Crossdressing, Team Sports, Shounen",1,Premiered season not found,Brain's Base,Special,Manga
3448,Ayashi no Ceres,https://myanimelist.net/anime/104/Ayashi_no_Ceres,7.18,"Adventure, Drama, Horror, Romance, Supernatural, Psychological, Reincarnation, Shoujo",24,Spring 2000,Pierrot,TV,Manga
3449,Bleach: Memories in the Rain,https://myanimelist.net/anime/762/Bleach__Memories_in_the_Rain,7.18,"Action, Adventure, Drama, Supernatural, Shounen",1,Premiered season not found,Pierrot,Special,Manga
3450,Chuunibyou demo Koi ga Shitai! Ren Lite,https://myanimelist.net/anime/21797/Chuunibyou_demo_Koi_ga_Shitai_Ren_Lite,7.18,"Comedy, School",6,Premiered season not found,Kyoto Animation,ONA,Light novel
3451,Crayon Shin-chan Movie 28: Gekitotsu! Rakuga Kingdom to Hobo Yonin no Yuusha,https://myanimelist.net/anime/40329/Crayon_Shin-chan_Movie_28__Gekitotsu_Rakuga_Kingdom_to_Hobo_Yonin_no_Yuusha,7.18,"Comedy, Seinen",1,Premiered season not found,Shin-Ei Animation,Movie,Manga
3452,Date A Live II,https://myanimelist.net/anime/19163/Date_A_Live_II,7.18,"Action, Fantasy, Romance, Sci-Fi, Harem, School",10,Spring 2014,Production IMS,TV,Light novel
3453,Denki-gai no Honya-san,https://myanimelist.net/anime/24031/Denki-gai_no_Honya-san,7.18,"Comedy, Otaku Culture, Workplace, Seinen",12,Fall 2014,Shin-Ei Animation,TV,Manga
3454,Dimension W,https://myanimelist.net/anime/31163/Dimension_W,7.18,"Action, Sci-Fi, Seinen",12,Winter 2016,Orange,TV,Manga
3455,Druaga no Tou: The Sword of Uruk,https://myanimelist.net/anime/4726/Druaga_no_Tou__The_Sword_of_Uruk,7.18,"Action, Adventure, Fantasy",12,Winter 2009,Gonzo,TV,Source not found
3456,Ganbarist! Shun,https://myanimelist.net/anime/3568/Ganbarist_Shun,7.18,"Comedy, Sports, Shounen",30,Summer 1996,Sunrise,TV,Manga
3457,Girls & Panzer: Dai 63-kai Senshadou Zenkoku Koukousei Taikai Recap,https://myanimelist.net/anime/36783/Girls___Panzer__Dai_63-kai_Senshadou_Zenkoku_Koukousei_Taikai_Recap,7.18,"Action, CGDCT, Military, School",1,Premiered season not found,Actas,ONA,Source not found
3458,God Eater,https://myanimelist.net/anime/27631/God_Eater,7.18,"Action, Fantasy, Sci-Fi, Military",13,Summer 2015,ufotable,TV,Source not found
3459,Ihatov Gensou: Kenji no Haru,https://myanimelist.net/anime/1206/Ihatov_Gensou__Kenji_no_Haru,7.18,"Drama, Slice of Life, Anthropomorphic, Historical",1,Premiered season not found,Group TAC,Movie,Source not found
3460,Irregular Hunter X: The Day of Sigma,https://myanimelist.net/anime/2808/Irregular_Hunter_X__The_Day_of_Sigma,7.18,"Action, Sci-Fi",1,Premiered season not found,Xebec,OVA,Source not found
3461,Jashin-chan Dropkick Episode 12,https://myanimelist.net/anime/38383/Jashin-chan_Dropkick_Episode_12,7.18,"Comedy, Supernatural, Gag Humor, Mythology",1,Premiered season not found,Nomad,ONA,Web manga
3462,Ajin OVA,https://myanimelist.net/anime/32015/Ajin_OVA,7.17,"Action, Horror, Mystery, Supernatural, Seinen",2,Premiered season not found,Polygon Pictures,OVA,Manga
3463,"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.",https://myanimelist.net/anime/23447/Ano_Natsu_de_Matteru__Bokutachi_wa_Koukou_Saigo_no_Natsu_wo_Sugoshinagara_Ano_Natsu_de_Matteiru,7.17,"Drama, Romance, Sci-Fi",1,Premiered season not found,J.C.Staff,Special,Source not found
3464,Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,https://myanimelist.net/anime/10834/Baka_to_Test_to_Shoukanjuu__Spinout_Sore_ga_Bokura_no_Nichijou,7.17,"Comedy, Romance, School, Super Power",6,Premiered season not found,SILVER LINK.,Special,Light novel
3465,Bakuman.: Deraman.,https://myanimelist.net/anime/15711/Bakuman__Deraman,7.17,"Comedy, Otaku Culture, School, Shounen",2,Premiered season not found,J.C.Staff,Special,Manga
3466,Choujigen Game Neptune The Animation OVA,https://myanimelist.net/anime/39638/Choujigen_Game_Neptune_The_Animation_OVA,7.17,"Action, Comedy, Fantasy, Sci-Fi",3,Premiered season not found,Okuruto Noboru,OVA,Source not found
3467,Chuukan Kanriroku Tonegawa,https://myanimelist.net/anime/37338/Chuukan_Kanriroku_Tonegawa,7.17,"Comedy, Drama, Adult Cast, Parody, Psychological, Workplace, Seinen",24,Summer 2018,Madhouse,TV,Manga
